District code,District name,State,Population,Latitude,Longitude,Households_with_Internet,sex_ratio,literacy_rate
213,Madhepura,Bihar,2001762,25.77341929460581,86.8978443983403,1397,91.0,42.0
207,Madhubani,Bihar,4487379,26.41380538172716,86.16328360450552,5319,93.0,48.0
226,Munger,Bihar,1367765,25.19853796296297,86.54173672839504,2653,88.0,59.0
216,Muzaffarpur,Bihar,4801062,26.186644171779147,85.32745092024544,10290,90.0,52.0
229,Nalanda,Bihar,2877653,25.229345508982053,85.48053113772461,4156,92.0,53.0
237,Nawada,Bihar,2219146,24.825708836206907,85.61594568965519,1841,94.0,49.0
230,Patna,Bihar,5838465,25.40297114503818,85.31984335877871,40692,90.0,59.0
211,Purnia,Bihar,3264619,25.81714801901739,87.40447606973066,4170,92.0,41.0
234,Rohtas,Bihar,2959918,24.99170460829495,83.93507626728109,4594,92.0,61.0
214,Saharsa,Bihar,1900661,25.821270696721307,86.54670819672134,1668,91.0,42.0
221,Samastipur,Bihar,4261566,25.793205563909765,85.94833323308269,5379,91.0,50.0
219,Saran,Bihar,3951862,25.89656077844312,84.82266287425155,4509,95.0,55.0
228,Sheikhpura,Bihar,636342,25.12472436548223,85.77839390862944,631,93.0,52.0
205,Sheohar,Bihar,656246,26.45838074866311,85.29539411764709,478,89.0,43.0
206,Sitamarhi,Bihar,3423574,26.565700696864127,85.61172491289203,3460,90.0,42.0
218,Siwan,Bihar,3330464,26.1736372013652,84.33766552901022,3834,99.0,58.0
208,Supaul,Bihar,2229076,26.281578937728963,86.78496465201462,1845,93.0,46.0
220,Vaishali,Bihar,3495021,25.8134703180212,85.39247597173153,4810,89.0,55.0
55,Chandigarh,Chandigarh,1055450,30.7426,76.75872465753423,44283,82.0,76.0
414,Bastar,Chhattisgarh,1413199,19.393866751269048,81.52895126903546,1782,102.0,46.0
30,Bilaspur,Chhattisgarh,381956,22.356942982456147,81.99770350877188,1574,98.0,75.0
406,Bilaspur,Chhattisgarh,2663629,22.356942982456147,81.99770350877188,8566,97.0,60.0
412,Dhamtari,Chhattisgarh,799781,20.554912627291245,81.7569195519348,1016,101.0,68.0
409,Durg,Chhattisgarh,3343872,21.194463849287164,81.33181639511197,16141,99.0,69.0
402,Jashpur,Chhattisgarh,851669,22.77286167664669,83.8703962075848,567,101.0,58.0
404,Korba,Chhattisgarh,1206640,22.491712499999995,82.57604326923074,4544,97.0,62.0
400,Koriya,Chhattisgarh,658917,23.50412776859501,82.12515636363634,1667,97.0,60.0
411,Mahasamund,Chhattisgarh,1032754,21.22372703777336,82.65925427435384,961,102.0,62.0
403,Raigarh,Chhattisgarh,1493984,22.008265068493166,83.27797698630134,3342,99.0,64.0
520,Raigarh,Chhattisgarh,2634200,22.008265068493166,83.27797698630134,38570,96.0,74.0
410,Raipur,Chhattisgarh,4063872,20.88603153846152,82.20032759615388,20261,98.0,65.0
401,Surguja,Chhattisgarh,2359886,23.327192787286076,83.23582493887531,2737,98.0,50.0
585,North Goa,Goa,818008,15.548723418714054,73.80667997909038,23440,96.0,81.0
586,South Goa,Goa,640537,15.195278658183785,73.94179259687701,17624,99.0,78.0
480,Amreli,Gujarat,1514190,21.04832649310872,71.43457637825426,2538,96.0,66.0
482,Anand,Gujarat,2092745,22.282718206229863,72.57782051557454,9902,92.0,74.0
469,Banas Kantha,Gujarat,3120506,24.25853896551725,71.93205252873561,3424,94.0,55.0
488,Bharuch,Gujarat,1551019,21.75787276237761,72.67326346710801,10257,93.0,72.0
481,Bhavnagar,Gujarat,2880365,21.70219390341736,72.16272632761141,7297,93.0,66.0
473,Gandhinagar,Gujarat,1391753,23.19367979002625,72.67221679790026,12107,92.0,74.0
477,Jamnagar,Gujarat,2160119,22.410600414263328,69.62062005768232,11573,94.0,65.0
479,Junagadh,Gujarat,2743082,20.929523011609785,70.54733890140345,6628,95.0,67.0
468,Kachchh,Gujarat,2092371,23.48057203301311,68.82192301497915,9631,91.0,60.0
483,Kheda,Gujarat,2299885,22.887653125000018,73.018803515625,5710,94.0,72.0
487,Narmada,Gujarat,590297,21.70666386292833,73.68403208722742,576,96.0,63.0
490,Navsari,Gujarat,1329672,20.866973318871995,72.86184869848157,6726,96.0,75.0
470,Patan,Gujarat,1343734,23.80634198473284,71.75162977099238,2231,94.0,62.0
478,Porbandar,Gujarat,585449,21.550923516515716,69.71896987722886,1653,95.0,67.0
476,Rajkot,Gujarat,3804558,22.40603377715488,70.83679439383323,21785,93.0,72.0
472,Sabar Kantha,Gujarat,2428589,23.71803594548552,73.13638790459964,5262,95.0,65.0
492,Surat,Gujarat,6081322,21.25761372772093,72.93488716344339,55694,79.0,75.0
475,Surendranagar,Gujarat,1756268,22.82672007299272,71.48358740875906,2975,93.0,62.0
489,The Dangs,Gujarat,228291,20.801633877551023,73.68835183673471,137,101.0,62.0
486,Vadodara,Gujarat,4165626,22.26133739279589,73.49433010291594,53606,93.0,69.0
491,Valsad,Gujarat,1705678,20.44238231644259,72.91485847983449,11020,92.0,69.0
70,Ambala,Haryana,1128350,30.3503672316384,76.94970310734456,12899,88.0,72.0
81,Bhiwani,Haryana,1634445,28.728868064516128,76.02110225806452,5292,89.0,65.0
88,Faridabad,Haryana,1809733,28.148731097560983,77.3271853658537,43437,87.0,70.0
78,Fatehabad,Haryana,942011,29.57298318584072,75.54608716814157,3210,90.0,59.0
